,年份,研究生,普通、职业本专科,#专科,普通高中,中等职业教育,初中阶段,小学阶段,特殊教育,学前教育,年份_index,lag_1,rolling_mean_3,增长率
1,1980,0.4,28.1,7.7,383.4,56.3,1557.6,2942.3,0.6,1972.4,1,1.1,0.75,
2,1985,4.7,61.9,30.2,257.5,234.2,1367.0,2298.2,0.9,1972.4,2,0.4,2.066666666666667,1075.0
3,1990,3.0,60.9,29.2,249.8,266.1,1389.3,2064.0,1.6,1972.4,3,4.7,2.6999999999999997,-36.17021276595745
4,1995,5.1,92.6,47.8,273.6,498.6,1781.1,2531.8,5.6,1972.4,4,3.0,4.266666666666667,70.0
5,2000,12.8,220.6,48.7,472.7,408.3,2295.6,1946.5,5.3,1531.1,5,5.1,6.966666666666668,150.9803921568628
6,2001,16.5,268.3,66.6,558.0,399.9,2287.9,1944.2,5.6,1399.2,6,12.8,11.466666666666669,28.90625
7,2002,20.3,320.5,89.1,676.7,473.6,2281.8,1952.8,5.3,1373.6,7,16.5,16.533333333333335,23.030303030303045
8,2003,26.9,382.2,199.6,752.1,515.8,2220.1,1829.4,4.9,1316.8,8,20.3,21.23333333333333,32.51231527093594
9,2004,32.6,447.3,237.4,821.5,566.2,2094.6,1747.0,5.1,1350.3,9,26.9,26.600000000000005,21.189591078066925
10,2005,36.5,504.5,268.1,877.7,665.7,1987.6,1671.7,4.9,1356.2,10,32.6,32.0,11.963190184049077
11,2006,39.8,546.1,293.0,871.2,747.8,1929.5,1729.4,5.0,1391.3,11,36.5,36.3,9.041095890410954
12,2007,41.9,566.9,283.8,840.2,810.0,1868.5,1736.1,6.3,1433.6,12,39.8,39.4,5.276381909547734
13,2008,44.6,607.7,310.6,837.0,812.1,1859.6,1695.7,6.2,1482.7,13,41.9,42.1,6.443914081145596
14,2009,51.1,639.5,313.4,830.3,860.2,1788.5,1537.8,6.4,1540.9,14,44.6,45.86666666666667,14.573991031390143
15,2010,53.8,661.8,330.5,836.2,878.4,1716.6,1691.7,6.5,1769.4,15,51.1,49.833333333333336,5.283757338551842
16,2011,56.0,681.5,324.9,850.8,813.9,1634.7,1736.8,6.4,1827.3,16,53.8,53.63333333333333,4.089219330855021
17,2012,59.0,688.8,314.8,844.6,754.1,1570.8,1714.7,6.6,1911.9,17,56.0,56.26666666666667,5.35714285714286
18,2013,61.1,699.8,318.4,822.7,674.8,1496.1,1695.4,6.6,1970.0,18,59.0,58.699999999999996,3.5593220338983045
19,2014,62.1,721.4,338.0,796.6,619.8,1447.8,1658.4,7.1,1987.8,19,61.1,60.73333333333333,1.6366612111292866
20,2015,64.5,737.8,348.4,796.6,601.2,1411.0,1729.0,8.3,2008.0,20,62.1,62.56666666666666,3.864734299516903
21,2016,66.7,748.6,343.2,802.9,593.3,1487.2,1752.5,9.2,1922.1,21,64.5,64.43333333333334,3.4108527131782918
22,2017,80.6,761.5,350.7,800.1,582.4,1547.2,1766.6,11.1,1939.0,22,66.7,70.60000000000001,20.839580209895047
23,2018,85.8,791.0,368.8,792.7,557.0,1602.6,1867.3,12.4,1863.9,23,80.6,77.7,6.451612903225801
24,2019,91.7,914.9,483.6,839.5,600.4,1638.8,1869.0,14.4,1688.2,24,85.8,86.03333333333332,6.876456876456882
25,2020,110.7,967.5,524.3,876.4,644.7,1632.1,1808.1,14.9,1791.2,25,91.7,96.06666666666668,20.719738276990185
26,2021,117.7,1001.3,552.6,905.0,489.0,1705.4,1782.6,14.9,1654.6,26,110.7,106.7,6.323396567299011
27,2022,124.2,1014.5,539.0,947.5,484.8,1731.4,1701.4,14.6,1560.4,27,117.7,117.53333333333335,5.522514868309258
28,2023,130.2,1042.2,555.1,967.8,454.0,1754.6,1877.9,15.5,1181.2,28,124.2,124.03333333333335,4.8309178743961345
29,2024,135.7,1068.9,567.9,1036.2,418.3,1848.8,1616.6,15.8,971.0,29,130.2,130.03333333333333,4.224270353302617
